Volumic fraction f,K - Mori-Tanaka,K - Differential,K - Self-consistent,K - Generalised self-consistent,G - Mori-Tanaka,G - Differential,G - Self-consistent,G - Generalised self-consistent,E - Mori-Tanaka,E - Differential,E - Self-consistent,E - Generalised self-consistent,nu - Mori-Tanaka,nu - Differential,nu - Self-consistent,nu - Generalised self-consistent
0.01,418.5335324656852,419.2513423065094,419.2526139503973,419.25007381163266,193.61463778939506,193.61536903523105,193.61604408762196,193.6146645568316,503.24337400835213,503.36015921854914,503.3618837682715,503.35836887703124,0.29960053577084567,0.29989721819799253,0.29989713956884817,0.29989732448515205
0.0198989898989899,420.39176872203694,421.8320101290909,421.83705257519784,421.82699225739105,194.9167400336521,194.91962788382475,194.92229726042402,194.91694023071625,506.4738453803418,506.711936292637,506.71875783946604,506.70507751509365,0.29920561285013236,0.2997971055912476,0.29979680355005606,0.2997974340129822
0.029797979797979796,422.2602653144514,424.4348823383209,424.446204054943,424.42364231013875,196.22723879180532,196.23369675509846,196.2396735464068,196.2278820052688,509.7242636554248,510.08933323543476,510.1046116321578,510.0744329110432,0.2988111813473458,0.2996986289057969,0.29969797241720386,0.29969917551611597
0.039696969696969696,424.1391074575556,427.06017699792045,427.08029380030916,427.04025146987397,197.54621554304688,197.55764445461628,197.5682343400371,197.547676957237,512.9948195501777,513.4925411947842,513.5196206357319,513.4668940650437,0.29841722895064016,0.2996018013181608,0.29960067303103766,0.29960246046374284
0.049595959595959596,426.02838131223433,429.70811380578823,429.73954757453356,429.67705074743776,198.87375282421473,198.89154002288012,198.90804013354546,198.87649922594298,516.2857061784172,516.921752133417,516.9639584086358,516.8828912832646,0.2980237433211311,0.29950663581254205,0.29950493218260527,0.2995072150179887
0.059494949494949496,427.92817399880107,432.37891523287925,432.4241914384085,432.33427473250174,200.20993424700941,200.23545283511208,200.25915048386588,200.21451201472402,519.5971190893778,520.3771592360898,520.4377964945717,520.3228307228467,0.29763071209124864,0.29941314554472254,0.29941077657897436,0.2994133778988545
0.06939393939393938,429.8385736103898,435.07280585128143,435.1344516941577,435.01216166314174,201.55484451554844,201.5894525364123,201.62162397961148,201.5618689892268,522.9292563066164,523.8589566552263,523.941304338497,523.7870975743682,0.2972381228630709,0.2993213436119724,0.2993182328287353,0.29932089884114904
0.07929292929292929,431.7596692265717,437.7900125371965,437.87055482842135,437.71095349704086,202.9085694442658,202.95360905651302,202.99551820812064,202.9187153340525,526.282318367661,527.3673395762277,527.4746492025456,527.2760584720012,0.2968459632066409,0.2992312431098002,0.29922732742738106,0.2992297373950433
0.08919191919191918,433.69155092720104,440.53076451082904,440.6327274541608,440.4308959843668,204.2711959761646,204.327992609523,204.38088972260803,204.28518859181915,529.65650836442,530.9025042227745,531.0379960819126,530.7900634115085,0.29645422065826404,0.2991428571349626,0.2991380867424875,0.2991398619507274
0.09909090909090908,435.6343098064952,443.2952933772547,443.42119625169505,443.172238742369,205.6428122014308,205.7126736931356,205.77779400945653,205.66141935322509,533.0520319843685,534.4646478610497,534.6315076208181,534.3294473310284,0.2960628827187856,0.2990561987889911,0.2990505369987808,0.29905124892023
0.10898989898989898,437.5880379873528,446.0838331176523,446.2361879086953,445.93523533174397,207.02350737641675,207.1077230585685,207.18628545568524,207.04753183991994,536.4690975525301,538.0539687300587,538.2553440285966,537.8945314491383,0.2956719368518496,0.2989712811866054,0.2989647042630223,0.2989638820351035
0.11888888888888888,439.55282863591543,448.89662009005,449.0779290595319,448.72014333481684,208.41337194300294,208.51321172829026,208.60641731663128,208.4436444074767,539.9079160742718,541.6706660809625,541.9096629960611,541.4856244219119,0.2952813704821356,0.2988881174273111,0.29888061442886643,0.2988777517327107
0.12878787878787878,441.52877597637746,451.7338930945809,451.94664622361375,451.52722443559094,209.81249754834658,209.92921100633964,210.0382416838815,209.84986998722596,543.3687012789301,545.3149402100943,545.5946196121596,545.1030233614104,0.2948911709935748,0.29880672059884594,0.29879829320154944,0.2987928546121853
0.1386868686868687,443.51597530604835,454.5958908702736,454.8425657430573,454.35674450171655,211.22097706502657,211.35579228115725,211.4818094534921,211.2663164803663,546.8516696642884,548.9869916091162,549.310366281066,548.7470147459546,0.2945013257275445,0.2987271029667905,0.2987177660825416,0.29870919294640974
0.1485858585858586,445.5145230106736,457.4828625317161,457.76591371950855,457.2089736684337,212.6389046115936,212.79302784556614,212.93717029453398,212.69308711425484,550.3570405419237,552.687024499196,553.0570526397571,552.4178752446003,0.2941118219810393,0.2986492792900778,0.2986390583540924,0.29862677423984985
0.15848484848484848,447.52451658001854,460.3950520090897,460.7169159504626,460.08418642454365,214.06637557353534,214.24098961009804,214.40437261800145,214.13028076837568,553.8850360834439,556.4152414159782,556.8348254762183,556.1158724727835,0.2937226470048195,0.29857326188749134,0.2985621950638012,0.29854561082449865
0.16838383838383839,449.5460546237208,463.3327078342182,463.69579786479545,462.9826617004679,215.50348662466635,215.6997499250717,215.88346354612366,215.5779922757896,557.435881367636,560.1718466422384,560.6438286483135,559.8412656922808,0.2933337880015352,0.29849906371432283,0.2984872010091027,0.29846571948790146
0.1782828282828283,451.5792368874169,466.2960810524002,466.7027844577894,465.9046829584522,216.95033574895285,217.16938141519938,217.374488882116,217.0363127046326,561.0098044285436,563.9570454967414,564.4842030034554,563.5943064658225,0.2929452321238259,0.2984266976810361,0.2984141007217732,0.2983871211284928
0.18818181818181817,453.6241642691478,469.2854255689626,469.7381002256223,468.8505382849789,218.40702226278248,218.64995684371297,218.87749308041091,218.5053296233163,564.6070363045017,567.7710440841079,568.356086299151,567.3752392746358,0.2925569664723943,0.2983561768775932,0.2983429184524451,0.29830984043441894
0.19808080808080808,455.68093883605,472.3009976849891,472.80196909943334,471.8205204854492,219.87364683769013,220.1415493156169,220.39251921740635,219.9851273523867,568.2278110881421,571.6140496752195,572.2596131245319,571.1843021056103,0.29216897809405434,0.2982875142204445,0.2982736781551693,0.29823390558273893
0.207979797979798,457.7496638413376,475.3430564966309,475.8946143787941,474.8149271812019,221.35031152355032,221.64423215488893,221.9196089627698,221.47578720546008,571.8723659774009,575.4862704948896,576.1949148229231,575.0217270135663,0.2917812539797517,0.2982207226866377,0.29820640347196214,0.29815934795645727
0.21787878787878787,459.830443741581,478.411863850439,479.0162586651634,477.8340609089347,222.8371197722475,223.1580789101928,223.45880255133716,222.97738772123733,575.5409413275453,579.3879157262973,580.1621194156347,578.8877406631572,0.2913937810625576,0.29815581527627505,0.2981411177175466,0.29808620187727985
0.22777777777777777,461.92338421428866,481.507684064336,482.16712379475234,480.87822922260005,224.33417646183602,224.68316339094017,225.01013875564357,224.49000488826013,579.2337807042463,583.3191955452643,584.1613515269642,582.7825648541783,0.2910065462156322,0.298092804867428,0.2980778438640747,0.29801450435233906
0.23767676767676768,464.028592175798,484.6307839727403,485.347430771302,483.9477447978449,225.84158792120112,226.21955966215984,226.573654859124,226.01371236380695,582.951130937721,587.2803211145853,588.1927323105782,586.7064170334467,0.29061953625016096,0.2980317042249567,0.2980166045260138,0.29794429483341356
0.24757575757575756,466.1461757994818,487.7814338268138,488.55739969867363,487.04292553907135,227.35946195523374,227.76734192167933,228.14938663002098,227.5485816881069,586.6932421779732,591.2715044535635,592.2563793773419,590.659510795926,0.2902327379132585,0.2979725264056505,0.2979574219451572,0.2978756149874028
0.25747474747474747,468.27624453427677,490.9599076924861,491.79724971339294,490.16409468919323,228.88790787053108,229.32658558046955,229.73736829603635,229.0946824948725,590.4603679511503,595.2929609285194,596.3524067247007,594.6420563773659,0.2898461378858429,0.29791528405160445,0.2979003179758055,0.2978085084770027
0.2673737373737374,470.4189091235407,494.1664785401001,495.06719891693524,493.3115809421697,230.4270365016362,230.89736350005487,231.33763251976217,230.65208271900522,594.2527652170536,599.3448999976833,600.4809246676615,598.6542611403983,0.28945972278047755,0.29785999050080303,0.29784531407004233,0.2977430207506867
0.2772727272727273,472.5742816242449,497.40142576135935,498.3674643084635,496.48571855839685,231.9769602378298,232.47975145270215,232.95021037492776,232.22084880220444,598.0706944278207,603.4275387018259,604.6420397715739,602.696330055748,0.2890734791391797,0.29780665828136194,0.2977924312633526,0.29767919884122557
0.2871717171717172,474.7424754265098,500.6650301532631,501.69826171728647,499.68684748304355,233.53779305048738,234.07382459254114,234.57513132349598,233.80104589711112,601.9144195878133,607.5410929165996,608.835854786665,606.7684661800027,0.2886873934311959,0.2977553000087971,0.29774169016031926,0.2976170911720889
0.29707070707070704,476.92360527348944,503.9575753027435,505.0598057356672,502.91531346741874,235.10965052101668,235.67965829250693,236.2124231936433,235.39273807053064,605.7842083147367,611.685779456812,613.0624685845138,610.8708711311789,0.2883014520507421,0.29770592822575304,0.29769311092061973,0.2975567473711609
0.30696969696969695,479.11778728161335,507.2793476266372,508.45230965184066,506.17146819346124,236.69264986938848,237.29732813909777,237.86211215865652,236.99598850620893,609.6803319020222,615.8618160693006,617.3219760965147,615.0037455631749,0.28791564131470815,0.2976585554058533,0.29764671324526587,0.29749821809127946
0.31686868686868686,481.3251389611929,510.6306364544675,511.87598538334225,509.45566940144704,238.28690998327696,238.92690992032755,239.5242227167777,238.61085970757614,613.6030653825039,620.0694214174783,621.614468254422,619.1672896400645,0.28752994746032584,0.29761319397686603,0.2976025163631197,0.29744155483717344
0.32676767676767676,483.54577923739987,514.0117348769805,515.331043410791,512.7682810210098,239.8925514478237,240.56847949283957,241.19877767202834,240.23741370082374,617.5526875934169,624.3088149200797,625.9400319330692,623.3617035110717,0.2871443566427983,0.29756985669159974,0.29756053901772955,0.2973868097984235
0.33666666666666667,485.7798284716248,517.4229388427204,518.8176927117872,516.1096733055774,241.50969657604156,242.22211292568875,242.8857981160413,241.87571223863722,621.529481242755,628.5802169240429,630.2987498952757,627.58718778698,0.2867588549328922,0.29752855619107926,0.2975207994543669,0.29733403568812167
0.3465656565656566,488.02740848322344,520.8645471609096,522.336140695957,519.4802229703273,243.13846943987446,243.887886500741,244.5853034109313,243.52581700487465,625.5337329770173,632.8838487036109,634.6907007391818,631.843944018655,0.28637342831448753,0.29748930499196397,0.29748331540760825,0.2972832855869389
0.3564646464646465,490.2886425716599,524.3368617624556,525.8865931400045,522.880313333769,244.7789959019295,245.56587667237747,246.29731117322743,245.18778982045237,629.5657334503786,637.219932410363,639.1159588478803,636.1321751782907,0.285988062682089,0.29745211558956164,0.297448104089072,0.29723461279234475
0.36636363636363634,492.5636555390542,527.8401877366057,529.4692541236996,526.3103344630659,246.43140364789846,247.25616006261777,248.0218372588963,246.8616928506766,633.6257773953205,641.5886910659441,643.5745943415652,640.4520861439553,0.28560274383829304,0.297417000457059,0.29741518217561846,0.29718807067274766
0.37626262626262624,494.8525737131434,531.37483336684,533.0843259665444,529.7706833232121,248.09582221968645,248.9588134563451,249.75889574947814,248.54758881424362,637.7141636947548,645.990348554805,648.0666730322091,644.8038841879603,0.28521745749121313,0.29738397204419387,0.29738456579791944,0.29714371252634775
0.38616161616161615,497.15552497066494,534.94111014266,536.7320091652396,533.2617639301826,249.77238304926544,250.67391379892246,251.50849893935901,250.2455411941161,641.8311954556834,650.425129618261,652.5922563808458,649.1877794695617,0.2848321892518593,0.29735304276614566,0.29735627052943375,0.2971015914445109
0.39606060606060606,499.47263876117165,538.5393321394616,540.4125023321103,536.7839875081837,251.46121949327147,252.40153825551394,253.2706573242004,251.95561445047582,645.9771800844245,654.8932598830861,657.1514014575338,653.6039855324774,0.2844469246314726,0.29732422474406095,0.29733031137583316,0.29706176017948843
0.40595959595959596,501.80404613128735,542.1698165594913,544.1260021340411,540.3377726511296,253.16246686836465,254.14176407464657,255.04537959054397,253.6778742359469,650.152429363452,659.3949656413542,661.7441609039739,658.052719807696,0.28406164903881226,0.29729753006608656,0.2973067027647276,0.29702427101631695
0.41585858585858587,504.14987974941243,545.8328843524196,547.872703233209,543.9235454884796,254.8762624873715,255.89466872461975,256.83267260661216,255.41238761328026,654.3572595298829,663.9304742557407,666.3705828990421,662.5342041220508,0.2836763477773941,0.29727297087659804,0.29728545853610056,0.2969891756487421
0.4257575757575757,506.5102739308899,549.5288597724854,551.652798228133,547.5417398555738,256.6027456962301,257.66032982227466,258.6325414143166,257.1592232756938,658.5919913556583,668.500013924022,671.0307111270254,667.0486652130402,0.28329100604268004,0.2972505592636837,0.29726659193296784,0.2969565250590183
0.43565656565656563,508.88536466364144,553.2580702964351,555.4664775962096,551.19279746861,258.3420579117588,259.4388250951897,260.4449892224918,258.91845177006263,662.8569502294565,673.103813577727,675.7245847487983,671.5963352503765,0.2829056089192158,0.2972303072424897,0.29725011559263137,0.2969263694014364
0.44555555555555554,511.2752896342833,557.0208467452452,559.3139296373715,554.8771681044103,260.09434266026983,261.2302324063697,262.2700174013634,260.6901457231623,667.1524662403868,677.7421029544157,680.4522383759058,676.1774523647729,0.2825201413777162,0.2972122267611818,0.2972360415384035,0.29689875788944053
0.45545454545454545,513.6801882547339,560.8175233336149,563.1953404190026,558.5953097851307,261.8597456170505,263.03462975493426,264.10762547826414,262.47438007117785,671.4788742635062,682.4151126041279,685.2137020476088,680.7922611844971,0.2821345882720969,0.29719632969986626,0.29722438117183647,0.29687373868619044
0.46535353535353535,516.1002016893227,564.6484377075711,567.1108937222677,562.3476889680735,263.6384146467342,264.85209525619916,265.9578111346035,264.2712322927,675.8365140472055,687.1230738475368,690.0090012109378,685.4410133802465,0.2817489343364504,0.2971826278792744,0.29721514526549925,0.29685135879842905
0.47525252525252526,518.5354728824113,568.5139311950106,571.0607709893261,566.1347807407676,265.43049984458486,266.68270711613815,267.8205702040986,266.0807826454445,680.2257303025153,691.8662187564317,694.8381567036901,690.1239682189326,0.28136316418196444,0.29717113313824584,0.29720834395612933,0.29683166397351246
0.4851515151515151,520.9861465865397,572.4143484867618,575.04515127289,569.9570690214873,267.2361535787193,268.52654366397337,269.69589667227183,267.90311440694853,684.6468727943778,696.6447801708043,699.7011847406277,694.8413931270057,0.2809772622937832,0.2971618571953286,0.29720398673860493,0.296814698599457
